id,cancellation_policy
20872145,moderate
13937181,flexible
3575220,moderate
17419858,strict
18202496,flexible
16987125,strict
1668313,flexible
13768853,flexible
19248168,moderate
849408,strict
12386020,flexible
225979,strict
21096625,strict
225834,strict
3420384,flexible
20902319,strict
13318522,flexible
8548176,strict
20649310,strict
753446,moderate
7651065,flexible
5884429,flexible
12535687,flexible
7093109,strict
15217781,flexible
18085704,flexible
15954650,strict
20673030,flexible
12023024,flexible
4461111,moderate
7252607,strict
13547301,strict
5434353,moderate
2583074,flexible
9218312,moderate
17574145,strict
14690527,flexible
18016452,flexible
19212437,strict
10116095,strict
6400432,flexible
15935306,moderate
19965562,moderate
5498472,moderate
894539,moderate
1861070,flexible
6513924,flexible
20997260,strict
7086825,strict
19702475,strict
3075044,moderate
9380145,flexible
19914995,strict
6069883,flexible
12147973,strict
1810172,flexible
4922204,strict
21126044,strict
6976,moderate
20978478,strict
4085362,moderate
18175604,strict
17471070,flexible
18388452,strict
5706985,strict
15193504,flexible
18912111,moderate
21107821,strict
15864923,strict
1724900,strict
16272709,strict
18181482,strict
20207694,strict
21189065,flexible
17382859,strict
3968797,moderate
1494726,strict
3755609,flexible
15099163,flexible
18254869,moderate
21154569,strict
15616726,strict
19073668,strict
19991354,flexible
3229255,strict
18194673,flexible
18580155,flexible
1721016,strict
19327752,flexible
12927298,strict
18790023,strict
7482195,strict
6603827,strict
16172058,moderate
2843445,moderate
16892278,strict
40601,moderate
20406376,flexible
19102964,moderate
19294099,moderate
6862594,flexible
17843922,strict
2798787,moderate
2295530,strict
17476391,moderate
19007014,strict
16125278,moderate
2698996,moderate
14868545,flexible
6248970,moderate
20015244,flexible
19103076,moderate
10883063,moderate
4015972,strict
18802946,strict
6238463,strict
4586681,flexible
6730758,moderate
12855343,moderate
10253591,strict
15149497,strict
19102461,moderate
12874603,flexible
8272350,moderate
12824498,flexible
12789527,moderate
5025015,moderate
6602217,moderate
4149974,strict
20623854,moderate
21217225,moderate
8932377,flexible
7910223,strict
2963419,strict
6602167,moderate
20053362,flexible
16266043,flexible
8354938,moderate
17249794,moderate
1109224,strict
8879352,moderate
17451062,moderate
20050570,strict
20051917,flexible
19656368,strict
20053152,strict
2621242,moderate
20053494,strict
554720,strict
14057466,moderate
17710012,moderate
2880944,strict
19545217,moderate
17838605,flexible
13513012,moderate
19430766,flexible
20885932,moderate
19911540,strict
1881298,moderate
20639600,strict
1030500,flexible
15432250,moderate
11826815,moderate
2014651,moderate
519272,moderate
12566065,strict
732932,strict
21213790,flexible
14105971,strict
1113272,moderate
10059572,moderate
4567815,moderate
6106955,strict
16674124,flexible
19328794,moderate
14531631,strict
12368012,flexible
6386351,flexible
17296595,strict
7273770,strict
14909417,flexible
19311820,strict
3881993,strict
12071820,flexible
17675806,strict
16282250,moderate
735970,flexible
950046,strict
3342094,strict
3593290,moderate
3997572,flexible
15869937,moderate
14549157,flexible
14991616,flexible
447826,strict
5521378,moderate
15581154,strict
4000384,flexible
12419766,strict
9485607,strict
18857626,flexible
18873614,flexible
18358140,flexible
3079305,moderate
7287822,moderate
10271867,flexible
7879708,flexible
16891720,flexible
9057435,moderate
5601743,strict
13334098,strict
20035860,flexible
799701,strict
4405982,strict
20888247,moderate
7708436,moderate
14071446,flexible
4765070,moderate
18955871,strict
16119921,moderate
19346178,strict
19100282,flexible
13344433,moderate
5652147,flexible
19589363,strict
13333862,strict
20051287,strict
9532771,flexible
20493376,strict
13865867,moderate
5212321,strict
14086550,flexible
21111456,flexible
210097,strict
9057418,moderate
594693,strict
1929406,strict
4583526,strict
19590968,strict
9137560,moderate
19361786,flexible
17772521,strict
5124772,strict
19951509,flexible
732999,strict
19696922,strict
8908145,flexible
19836161,strict
19655883,strict
4025194,flexible
20540368,flexible
18263612,moderate
20359898,moderate
19655359,strict
8923817,flexible
9676551,moderate
6990904,moderate
3730447,strict
568234,strict
9549850,moderate
16362002,moderate
9349646,flexible
9349614,flexible
13652374,flexible
9590679,moderate
13137300,flexible
16494984,moderate
20572354,flexible
7956634,moderate
20784807,moderate
13363171,strict
4223387,flexible
14868157,strict
10627514,moderate
20998585,strict
20052971,strict
12052288,moderate
9212213,strict
1885825,flexible
19588926,strict
9591772,strict
16770690,strict
17524373,strict
1058448,moderate
26160,moderate
