id,host_id,host_name,neighbourhood,property_type,room_type
20872145,94870110,Zay,Roslindale,Apartment,Private room
13937181,82861960,Lelia,Roslindale,House,Private room
3575220,13226301,Mohamed,Roslindale,House,Private room
17419858,114515516,William,Roslindale,Apartment,Private room
18202496,61261721,Kate,Roslindale,House,Private room
16987125,69267172,Lynda,Roslindale,Apartment,Private room
1668313,8834105,Rebecca,Roslindale,House,Private room
13768853,43132977,Elly,Roslindale,Apartment,Private room
19248168,129640002,John,Roslindale,Apartment,Entire home/apt
849408,4434391,Damon,Roslindale,Apartment,Entire home/apt
12386020,64200298,Deborah,Roslindale,Condominium,Private room
225979,1176995,Duane,Roslindale,Apartment,Private room
21096625,150174885,Davis,Roslindale,Apartment,Private room
225834,1176995,Duane,Roslindale,Apartment,Private room
3420384,431385,Cynthia,Roslindale,House,Private room
20902319,150174885,Davis,Roslindale,In-law,Entire home/apt
13318522,1262035,Kris,Roslindale,House,Entire home/apt
8548176,6570877,Juliet,Roslindale,House,Entire home/apt
20649310,42379994,Kenneth,Roslindale,House,Private room
753446,3962517,Sami,Roslindale,Condominium,Private room
7651065,15396970,Linda,Roslindale,House,Private room
5884429,15396970,Linda,Roslindale,House,Private room
12535687,30349101,Rossanna,Roslindale,Apartment,Entire home/apt
7093109,37177446,Nelson And Marlene,Roslindale,Apartment,Entire home/apt
15217781,96695374,Nirmal,Roslindale,Condominium,Private room
18085704,32534082,Adam,Roslindale,Apartment,Private room
15954650,69267172,Lynda,Roslindale,House,Private room
20673030,147910878,Yashin,Roslindale,Apartment,Entire home/apt
12023024,64331842,Ricardo,Roslindale,House,Private room
4461111,13226301,Mohamed,Roslindale,House,Private room
7252607,34552909,Barrie,Roslindale,House,Private room
13547301,57402911,Georgia,Roslindale,Loft,Entire home/apt
5434353,9658771,Anthony,Roslindale,House,Entire home/apt
2583074,13226301,Mohamed,Roslindale,Villa,Private room
9218312,47935411,Jone,Roslindale,House,Private room
17574145,18553747,Mona,Roslindale,Apartment,Private room
14690527,28472710,Crystal,Roslindale,Apartment,Entire home/apt
18016452,123875305,Aurea,Roslindale,House,Private room
19212437,124799156,Maureen,Roslindale,House,Private room
10116095,1229092,Jim,Roslindale,Apartment,Private room
6400432,23127285,Jesús,Roslindale,House,Entire home/apt
15935306,31179723,Raq,Roslindale,Apartment,Private room
19965562,9181364,Bruce,Roslindale,Condominium,Entire home/apt
5498472,28518068,Colette,Roslindale,House,Entire home/apt
894539,4762495,Jennifer,Roslindale,House,Private room
1861070,8879967,Joanne,Roslindale,House,Private room
6513924,16398126,Chris,Roslindale,Condominium,Private room
20997260,150174885,Davis,Roslindale,House,Private room
7086825,34552909,Barrie,Roslindale,House,Private room
19702475,79029888,Yoselin,Roslindale,Townhouse,Private room
3075044,2572247,Andrea,Roslindale,Apartment,Private room
9380145,7728809,John & Emily,Roslindale,Apartment,Entire home/apt
19914995,2006852,Jay,Roslindale,House,Entire home/apt
6069883,15396970,Linda,Roslindale,House,Private room
12147973,31303940,Virginia,Roslindale,House,Entire home/apt
1810172,8834105,Rebecca,Roslindale,House,Private room
4922204,6570877,Juliet,Roslindale,House,Entire home/apt
21126044,150174885,Davis,Roslindale,House,Private room
6976,16701,Phil,Roslindale,Apartment,Private room
20978478,9705586,Estuardo,Roslindale,Apartment,Private room
4085362,3164508,Marilyn,Roslindale,House,Private room
18175604,124799156,Maureen,Roslindale,House,Private room
17471070,17779702,Allegra,Roslindale,House,Entire home/apt
18388452,127347672,Samantha,Roslindale,Apartment,Private room
5706985,6570877,Juliet,Roslindale,Apartment,Entire home/apt
15193504,2343712,Stephanie+Eric,Roslindale,Apartment,Private room
18912111,31179723,Raq,Roslindale,Condominium,Private room
21107821,57402911,Georgia,Roslindale,Apartment,Entire home/apt
15864923,102834782,Andrei,Roslindale,House,Entire home/apt
1724900,7723912,Fj,Roslindale,House,Entire home/apt
16272709,69267172,Lynda,Roslindale,House,Entire home/apt
18181482,6570877,Juliet,Roslindale,House,Entire home/apt
20207694,69267172,Lynda,Roslindale,Apartment,Entire home/apt
21189065,16140068,Alfonso,Roslindale,House,Private room
17382859,6570877,Juliet,Roslindale,House,Entire home/apt
3968797,4762495,Jennifer,Roslindale,House,Private room
1494726,7506913,Maria Cecilia,Roslindale,House,Private room
3755609,19223882,Rosa,Roslindale,House,Private room
15099163,56877728,Jaque,Roslindale,Apartment,Private room
18254869,46966201,Eric,Roslindale,Apartment,Entire home/apt
21154569,124799156,Maureen,Roslindale,House,Private room
15616726,100685694,Frances,Roslindale,House,Entire home/apt
19073668,124799156,Maureen,Roslindale,House,Private room
19991354,30307510,Kalyn,Roslindale,House,Private room
