id,property_type,room_type,accommodates,bathrooms,bedrooms,beds
20872145,Apartment,Private room,2,1,0,1
13937181,House,Private room,2,2,1,1
3575220,House,Private room,1,2.5,1,1
17419858,Apartment,Private room,2,2,1,1
18202496,House,Private room,2,1,1,1
16987125,Apartment,Private room,2,1,1,2
1668313,House,Private room,1,1,1,1
13768853,Apartment,Private room,4,1,1,2
19248168,Apartment,Entire home/apt,3,1,1,1
849408,Apartment,Entire home/apt,7,1,3,3
12386020,Condominium,Private room,2,1,1,1
225979,Apartment,Private room,1,0,1,1
21096625,Apartment,Private room,2,1,1,1
225834,Apartment,Private room,2,0,1,1
3420384,House,Private room,4,1,1,3
20902319,In-law,Entire home/apt,4,1,1,2
13318522,House,Entire home/apt,4,2.5,2,4
8548176,House,Entire home/apt,16,1,4,9
20649310,House,Private room,2,1,1,1
753446,Condominium,Private room,2,1,1,2
7651065,House,Private room,2,1,1,2
5884429,House,Private room,4,1.5,2,3
12535687,Apartment,Entire home/apt,3,1,0,2
7093109,Apartment,Entire home/apt,6,1,2,2
15217781,Condominium,Private room,2,1,1,1
18085704,Apartment,Private room,1,1,0,1
15954650,House,Private room,3,1,1,2
20673030,Apartment,Entire home/apt,4,1,1,3
12023024,House,Private room,2,1,1,1
4461111,House,Private room,1,1.5,1,1
7252607,House,Private room,2,1,1,1
13547301,Loft,Entire home/apt,2,1,1,1
5434353,House,Entire home/apt,3,1,2,2
2583074,Villa,Private room,1,2.5,1,1
9218312,House,Private room,2,1,1,1
17574145,Apartment,Private room,2,1,1,1
14690527,Apartment,Entire home/apt,4,1,1,2
18016452,House,Private room,1,1,1,1
19212437,House,Private room,2,1,1,1
10116095,Apartment,Private room,2,1,1,1
6400432,House,Entire home/apt,8,1,3,5
15935306,Apartment,Private room,1,2.5,1,1
19965562,Condominium,Entire home/apt,4,2,2,2
5498472,House,Entire home/apt,5,3.5,4,3
894539,House,Private room,2,1.5,1,1
1861070,House,Private room,1,1.5,1,1
6513924,Condominium,Private room,2,1,1,2
20997260,House,Private room,3,1,1,2
7086825,House,Private room,2,1,1,1
19702475,Townhouse,Private room,4,1.5,1,2
3075044,Apartment,Private room,2,1,1,1
9380145,Apartment,Entire home/apt,2,1,1,1
19914995,House,Entire home/apt,8,2,3,4
6069883,House,Private room,2,1,1,1
12147973,House,Entire home/apt,4,1.5,2,3
1810172,House,Private room,2,1,1,1
4922204,House,Entire home/apt,16,2.5,3,7
21126044,House,Private room,2,1,1,2
6976,Apartment,Private room,2,1,1,1
20978478,Apartment,Private room,2,1,1,1
4085362,House,Private room,2,2,1,1
18175604,House,Private room,1,1,1,1
17471070,House,Entire home/apt,4,1.5,3,3
18388452,Apartment,Private room,2,1,1,1
5706985,Apartment,Entire home/apt,3,1,1,2
15193504,Apartment,Private room,2,1,1,1
18912111,Condominium,Private room,2,2.5,1,1
21107821,Apartment,Entire home/apt,6,2,2,3
15864923,House,Entire home/apt,6,1.5,3,3
1724900,House,Entire home/apt,4,1,2,2
16272709,House,Entire home/apt,6,1,2,3
