id,availability_30,availability_60,availability_90,availability_365
20872145,16,44,74,164
13937181,14,33,63,146
3575220,0,0,11,286
17419858,25,55,85,85
18202496,0,0,0,0
16987125,20,50,80,170
1668313,28,58,88,363
13768853,0,0,0,0
19248168,0,0,0,184
849408,1,3,31,163
12386020,4,34,64,64
225979,0,0,15,290
21096625,18,44,74,349
225834,13,43,73,348
3420384,0,0,0,240
20902319,5,29,52,230
13318522,0,1,3,22
8548176,24,28,58,333
20649310,0,23,51,104
753446,18,48,78,353
7651065,13,40,70,345
5884429,0,0,0,259
12535687,15,45,75,350
7093109,14,44,74,341
15217781,15,45,75,165
18085704,0,0,0,0
15954650,20,50,80,355
20673030,5,25,42,310
12023024,14,44,74,349
4461111,0,0,3,278
7252607,0,0,5,280
13547301,7,27,57,329
5434353,0,24,54,329
2583074,0,0,3,278
9218312,15,40,48,133
17574145,21,21,50,325
14690527,0,0,30,120
18016452,0,2,32,122
19212437,0,0,0,159
10116095,30,60,90,365
6400432,0,0,0,96
15935306,0,0,3,3
19965562,2,12,23,115
5498472,0,0,0,0
894539,0,11,24,262
1861070,26,56,86,361
6513924,25,55,85,360
20997260,21,44,71,71
7086825,0,4,34,309
19702475,22,52,82,357
3075044,18,48,78,353
9380145,0,0,12,257
19914995,8,35,65,155
6069883,0,0,0,259
12147973,0,0,0,0
1810172,22,52,82,357
4922204,16,46,76,337
21126044,12,42,66,341
6976,26,42,72,72
20978478,20,50,80,355
4085362,4,34,64,339
18175604,4,26,56,331
17471070,0,0,0,0
18388452,15,45,75,165
5706985,1,31,61,336
15193504,0,0,0,0
18912111,0,0,0,0
21107821,20,50,80,355
15864923,9,39,69,344
1724900,19,49,79,347
16272709,20,36,66,339
18181482,1,31,61,336
20207694,20,48,78,353
21189065,18,48,78,353
17382859,23,53,83,358
3968797,12,15,33,118
1494726,29,59,89,364
3755609,22,52,82,357
15099163,27,57,87,177
18254869,17,47,77,350
21154569,13,43,73,348
15616726,12,34,60,306
19073668,0,0,18,293
19991354,16,40,70,160
3229255,13,43,73,160
18194673,13,34,64,64
18580155,0,3,7,150
1721016,15,45,75,350
19327752,7,7,10,10
12927298,17,47,74,120
18790023,12,42,72,162
7482195,0,0,0,128
6603827,0,0,0,247
16172058,0,0,0,0
2843445,0,0,18,293
16892278,21,51,81,351
40601,6,27,39,314
20406376,0,0,0,0
19102964,12,37,67,342
19294099,2,10,31,120
6862594,0,0,0,0
17843922,5,22,40,126
2798787,9,22,52,317
2295530,10,37,63,219
17476391,7,19,38,121
19007014,12,42,72,347
16125278,22,49,79,79
2698996,0,0,0,97
14868545,14,44,74,164
6248970,6,19,49,139
20015244,6,30,56,327
19103076,21,49,79,169
10883063,11,41,71,71
4015972,6,36,66,341
18802946,8,38,68,158
6238463,1,1,1,55
4586681,18,43,73,348
6730758,0,16,26,46
12855343,2,13,30,301
10253591,17,47,77,77
15149497,10,40,70,345
19102461,12,41,71,161
12874603,0,0,0,0
8272350,0,0,0,0
12824498,0,0,0,0
12789527,0,0,0,0
5025015,3,20,41,299
6602217,2,11,38,167
4149974,5,20,44,309
20623854,2,17,32,149
21217225,0,20,50,325
8932377,0,0,0,0
7910223,12,39,69,159
2963419,13,43,55,55
6602167,2,21,51,311
20053362,5,8,12,25
16266043,0,0,0,0
8354938,5,22,49,324
17249794,0,0,0,2
1109224,17,39,62,316
8879352,0,0,0,0
17451062,3,14,44,307
20050570,30,60,87,87
20051917,30,60,87,87
19656368,30,60,90,360
20053152,30,60,87,87
2621242,0,0,0,97
20053494,30,60,87,87
554720,9,26,49,222
14057466,8,16,16,35
17710012,11,11,14,14
2880944,0,0,0,0
19545217,13,19,19,19
17838605,4,30,60,143
13513012,0,0,0,0
19430766,12,12,15,15
20885932,21,46,61,61
19911540,16,46,76,351
1881298,1,9,25,280
20639600,0,0,1,1
1030500,0,0,4,279
15432250,0,4,4,4
11826815,0,0,8,8
2014651,28,58,88,363
519272,0,0,0,0
12566065,0,0,0,0
732932,9,39,69,344
21213790,13,43,73,348
14105971,7,34,64,64
1113272,2,20,39,306
10059572,1,1,1,4
4567815,0,0,0,0
6106955,0,0,3,87
16674124,0,0,0,0
19328794,0,0,22,22
14531631,2,32,62,152
12368012,19,49,79,351
6386351,0,0,0,0
17296595,0,0,0,136
7273770,0,0,0,0
14909417,0,0,0,0
19311820,0,0,0,66
3881993,29,59,89,364
12071820,22,51,80,320
17675806,0,0,0,126
16282250,0,1,19,294
735970,0,0,0,0
950046,30,60,90,365
3342094,0,8,30,305
3593290,0,0,8,88
3997572,27,57,87,362
15869937,30,60,90,365
14549157,0,0,0,0
14991616,0,0,0,0
447826,6,30,38,309
5521378,20,50,80,170
15581154,0,0,0,155
4000384,9,34,64,64
12419766,0,0,19,294
9485607,11,41,66,341
18857626,0,0,0,0
18873614,0,0,13,99
18358140,3,23,53,53
3079305,4,10,14,172
7287822,10,36,66,156
10271867,0,0,0,0
7879708,22,52,82,357
16891720,0,0,0,0
9057435,12,20,50,318
5601743,4,7,18,21
13334098,0,0,0,160
20035860,11,29,59,149
799701,0,0,8,51
4405982,16,41,65,334
20888247,13,38,68,68
7708436,1,1,1,1
14071446,0,0,0,0
4765070,2,13,43,311
18955871,9,31,46,321
16119921,12,39,69,69
19346178,0,0,21,21
19100282,0,0,0,127
13344433,0,0,0,0
5652147,0,0,0,0
19589363,5,35,65,335
13333862,0,0,0,0
20051287,30,60,87,87
9532771,0,0,0,0
20493376,25,55,85,355
13865867,0,0,0,0
5212321,0,0,0,0
14086550,12,42,72,343
21111456,19,49,79,354
210097,3,18,48,319
9057418,9,25,50,309
594693,1,24,54,329
1929406,23,53,83,83
4583526,0,0,3,262
19590968,22,52,82,352
9137560,0,0,0,0
19361786,0,0,0,0
17772521,0,0,0,0
5124772,0,0,0,0
19951509,0,0,0,0
732999,6,18,48,323
19696922,24,54,84,354
8908145,30,60,90,365
19836161,0,0,2,92
19655883,30,60,90,360
4025194,0,0,0,0
20540368,0,0,0,0
18263612,0,0,0,0
20359898,6,36,66,122
